Summary Results Report,,,,,,,,,OFFICIAL RESULTS
GENERAL ELECTION,,,,,,,,,
6-Nov-18,,,,,,,,,CACHE COUNTY
AMA,,,,,,,,,
STATISTICS,,,,,,,,,
,TOTAL,Mail,Provisional,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
TIM AALDERS (CON),34,4.32%,29,5,,,,,
CRAIG R. BOWDEN (LIB),11,1.40%,9,2,,,,,
REED C. MCCANDLESS (IAP),4,0.51%,4,0,,,,,
JENNY WILSON (DEM),118,14.99%,109,9,,,,,
MITT ROMNEY (REP),618,78.53%,580,38,,,,,
WRITE-IN,2,0.25%,2,0,,,,,
Total Votes Cast,787,100.00%,733,54,,,,,
Contest Totals,800,,744,56,,,,,
Summary Results Report,,,,,,OFFICIAL RESULTS,,,
GENERAL ELECTION,,,,,,,,,
6-Nov-18,,,,,,CACHE COUNTY,,,
NIB03,,,,,,,,,
U.S. REPRESENTATIVE DISTRICT #1,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
LEE CASTILLO (DEM),93,11.86%,88,5,,,,,
ROB BISHOP (REP),566,72.19%,526,40,,,,,
ERIC ELIASON (UUP),113,14.41%,104,9,,,,,
ADAM DAVIS (GRN),12,1.53%,12,0,,,,,
Total Votes Cast,784,100.00%,730,54,,,,,
Contest Totals,800,,744,56,,,,,
STATE SENATE DISTRICT #17,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,,,Mail,,,Provisional,
SCOTT SANDALL (REP),597,,78.35%,556,,,41,,
MICHAEL A. KEIL (DEM),165,,21.65%,155,,,10,,
Total Votes Cast,762,,100.00%,711,,,51,,
Contest Totals,800,,,744,,,56,,
STATE REPRESENTATIVE DISTRICT #5,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
KARINA ANDELIN BROWN (DEM),222,28.72%,205,17,,,,,
CASEY SNIDER (REP),551,71.28%,515,36,,,,,
Total Votes Cast,773,100.00%,720,53,,,,,
Contest Totals,800,,744,56,,,,,
Summary Results Report,,,,,,OFFICIAL RESULTS,,,
GENERAL ELECTION,,,,,,,,,
6-Nov-18,,,,,,CACHE COUNTY,,,
NIB03,,,,,,,,,
STATE BOARD OF EDUCATION DISTRICT #1,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
JENNIE L. EARL,310,49.92%,286,24,,,,,
TERRYL WARNER,311,50.08%,293,18,,,,,
Total Votes Cast,621,100.00%,579,42,,,,,
Contest Totals,800,,744,56,,,,,
CACHE COUNTY EXECUTIVE/SURVEYOR,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
CRAIG W. BUTTARS (REP),678,100.00%,631,47,,,,,
Total Votes Cast,678,100.00%,631,47,,,,,
Contest Totals,800,,744,56,,,,,
CACHE COUNTY COUNCIL SE,,,,,,,,,
Vote For 1,,,,,,,,,
,TOTAL,VOTE %,Mail,Provisional,,,,,
REBECCA WINSTEAD (DEM),176,23.44%,164,12,,,,,
GORDON A. ZILLES (REP),575,76.56%,536,39,,,,,
Total Votes Cast,751,100.00%,700,51,,,,,
Contest Totals,800,,744,56,,,,,
