COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,BALLOTS CAST - REPUBLICAN,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for U.S. House District 4,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Governor and Lieutenant Governor,Republican for Attorney General,Republican for Attorney General,Republican for State Senate District 16,Republican for State Senate District 16,Republican for State House District 61,Republican for State House District 61,Republican for State House District 66,Republican for State House District 66,Republican for State House District 56,Republican for State House District 56,Republican for State House District 48,Republican for State House District 48,Republican for County Recorder,Republican for County Recorder,Republican for County Commission Seat C,Republican for County Commission Seat C,Republican for State School Board District 13,Republican for State School Board District 13,
,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,
,,,BALLOTS CAST,BURGESS OWENS,KIM COLEMAN,TRENT CHRISTENSEN,"JAY ""JAYMAC"" MCFARLAND","THOMAS E. WRIGHT, ROB BISHOP","SPENCER J. COX, DEIDRE M. HENDERSON","JON HUNTSMAN JR., MICHELLE KAUFUSI","GREG HUGHES, VICTOR IVERSON",SEAN D. REYES,DAVID O. LEAVITT,CURT BRAMBLE,SYLVIA ANDREW,MARSHA JUDKINS,KENNETH GROVER,JEFFERSON S. BURTON,KARI L. MALKOVICH,MERRILEE BOYACK,KAY J. CHRISTOFFERSON,DAVID R. SHALLENBERGER,KEVEN J. STRATTON,ANDREA ALLEN,BRIAN VOEKS,TOM SAKIEVICH,R NATHAN IVIE,ALYSON WILLIAMS,RANDY BOOTHE,
25,0117,OR21,354,0,0,0,0,40,142,90,79,193,152,0,0,0,0,0,0,0,0,0,0,186,149,214,124,0,0,
25,0118,OR22,505,0,0,0,0,33,220,150,96,271,221,0,0,0,0,0,0,0,0,0,0,283,190,280,202,0,0,
25,0119,OR23,462,0,0,0,0,24,255,116,65,244,207,0,0,0,0,0,0,0,0,0,0,244,195,262,177,0,0,
25,0120,OR24,488,0,0,0,0,35,221,158,68,256,218,0,0,0,0,0,0,0,0,100,382,257,196,271,179,0,0,
25,0121,OR25,282,0,0,0,0,32,131,77,40,126,152,0,0,0,0,0,0,0,0,0,0,149,112,150,112,0,0,
25,0122,OR26,283,0,0,0,0,24,132,73,53,155,121,0,0,0,0,0,0,0,0,0,0,174,95,165,109,0,0,
25,0123,OR27,368,0,0,0,0,23,180,103,60,211,153,0,0,0,0,0,0,0,0,0,0,176,173,214,133,0,0,
25,0124,OR28,359,0,0,0,0,39,143,113,60,184,167,0,0,0,0,0,0,0,0,0,0,160,181,199,141,0,0,
25,0125,OR29,528,0,0,0,0,34,282,132,79,270,237,0,0,0,0,0,0,0,0,0,0,301,182,294,191,0,0,
25,0126,OR30,457,0,0,0,0,24,197,153,80,207,230,228,208,0,0,0,0,0,0,242,209,262,149,201,202,0,0,
25,0127,OR31,390,0,0,0,0,33,180,122,53,175,205,213,166,0,0,0,0,0,0,0,0,204,167,194,177,0,0,
25,0128,OR32,363,0,0,0,0,33,168,110,50,206,151,175,178,0,0,0,0,0,0,160,194,204,136,193,148,0,0,
25,0129,OR33,19,0,0,0,0,0,12,5,2,14,4,9,8,0,0,0,0,0,0,9,10,9,6,10,6,9,6,
25,0130,OR34,206,0,0,0,0,11,86,71,33,104,96,0,0,0,0,0,0,0,0,0,0,93,92,122,68,0,0,
25,0131,OR35,291,0,0,0,0,35,103,100,52,136,148,0,0,0,0,0,0,0,0,0,0,143,119,156,114,0,0,
25,0132,OR36,350,0,0,0,0,16,179,106,47,203,140,0,0,0,0,0,0,0,0,130,208,215,112,180,149,0,0,
25,0133,OR37,265,0,0,0,0,21,126,85,31,144,114,0,0,161,90,0,0,0,0,0,0,139,101,145,100,122,122,
25,0134,OR38,368,0,0,0,0,27,156,117,65,191,159,0,0,0,0,0,0,0,0,0,0,205,138,190,149,0,0,
25,0135,OR39,171,0,0,0,0,7,93,36,35,99,66,0,0,0,0,0,0,0,0,0,0,96,65,91,73,0,0,
25,0136,OR40,307,0,0,0,0,28,124,101,53,192,111,0,0,0,0,0,0,0,0,0,0,159,125,175,109,0,0,
25,0137,OR41,280,0,0,0,0,19,129,78,53,164,107,0,0,0,0,0,0,0,0,0,0,155,112,174,96,0,0,
25,0138,OR42,221,0,0,0,0,9,97,76,39,120,90,0,0,0,0,0,0,0,0,0,0,115,91,131,76,0,0,
25,0139,OR42S,35,0,0,0,0,2,13,11,9,19,14,0,0,0,0,0,0,0,0,0,0,15,16,20,12,0,0,
25,0140,OR43,411,0,0,0,0,54,195,107,53,228,174,0,0,0,0,0,0,0,0,0,0,212,159,220,158,0,0,
25,0141,OR44,270,0,0,0,0,23,135,74,38,149,111,0,0,0,0,0,0,0,0,0,0,152,106,140,118,0,0,
25,0142,OR45,278,0,0,0,0,25,117,84,49,153,118,174,94,0,0,0,0,0,0,0,0,148,107,144,110,0,0,
25,0143,OR46,313,0,0,0,0,17,125,111,57,158,149,0,0,0,0,0,0,0,0,0,0,194,105,178,118,0,0,
25,0144,OR47,454,0,0,0,0,31,192,147,83,229,207,0,0,275,163,0,0,0,0,0,0,223,199,272,151,0,0,
25,0145,OR47S,4,0,0,0,0,0,3,0,1,2,2,0,0,1,3,0,0,0,0,0,0,4,0,1,3,3,1,
25,0146,OR48,135,0,0,0,0,3,71,48,12,73,53,0,0,0,0,0,0,0,0,57,78,57,60,71,44,0,0,
25,0147,OR49,334,0,0,0,0,31,152,96,51,152,174,183,136,0,0,0,0,0,0,0,0,158,145,186,124,0,0,
25,0148,OR50,334,0,0,0,0,12,189,100,32,174,149,0,0,0,0,0,0,0,0,137,174,179,128,196,108,0,0,
25,0149,PA01,570,0,0,0,0,47,257,151,114,318,240,0,0,0,0,0,0,0,0,0,0,300,224,313,225,0,0,
25,0150,PA02,651,0,0,0,0,48,305,147,145,346,280,0,0,0,0,0,0,0,0,0,0,349,252,352,242,0,0,
25,0151,PA03,471,0,0,0,0,37,191,137,102,237,220,0,0,0,0,0,0,0,0,0,0,285,160,257,195,0,0,
25,0152,PA04,445,0,0,0,0,43,208,101,89,239,194,0,0,0,0,0,0,0,0,0,0,257,168,247,178,0,0,
25,0153,PA05,240,0,0,0,0,25,83,68,64,119,117,0,0,0,0,0,0,0,0,0,0,158,69,132,91,0,0,
25,0154,PA06,635,310,120,72,114,43,256,149,186,362,259,0,0,0,0,0,0,0,0,0,0,354,250,399,214,0,0,
25,0155,PA07,580,0,0,0,0,32,272,146,128,312,257,0,0,0,0,0,0,0,0,0,0,301,248,340,203,0,0,
25,0156,PA08,334,0,0,0,0,17,159,82,74,181,141,0,0,0,0,0,0,0,0,0,0,187,127,173,142,0,0,
25,0157,PG01,579,0,0,0,0,31,304,123,114,312,246,0,0,0,0,0,0,0,0,0,0,303,227,317,214,0,0,
25,0158,PG01S,82,0,0,0,0,3,30,35,13,29,52,0,0,0,0,0,0,0,0,0,0,41,35,48,29,0,0,
25,0159,PG02,310,0,0,0,0,26,125,73,81,164,137,0,0,0,0,0,0,0,0,0,0,170,119,181,110,0,0,
25,0160,PG03,559,0,0,0,0,32,281,146,97,321,225,0,0,0,0,0,0,0,0,0,0,300,218,256,266,0,0,
25,0161,PG04,482,0,0,0,0,41,205,152,84,241,217,0,0,0,0,0,0,0,0,0,0,254,193,257,189,0,0,
25,0162,PG05,190,0,0,0,0,20,67,69,34,90,91,0,0,0,0,0,0,0,0,0,0,92,74,103,63,0,0,
25,0163,PG05S,27,0,0,0,0,1,7,13,6,12,13,0,0,0,0,0,0,0,0,0,0,21,4,8,17,0,0,
25,0164,PG06,627,0,0,0,0,39,280,165,139,347,259,0,0,0,0,0,0,0,0,0,0,362,216,322,248,0,0,
25,0165,PG07,446,0,0,0,0,32,187,161,64,227,202,0,0,0,0,0,0,0,0,0,0,195,214,230,177,0,0,
25,0166,PG08,476,0,0,0,0,34,195,155,91,226,234,0,0,0,0,0,0,0,0,0,0,225,213,273,165,0,0,
25,0167,PG09,670,0,0,0,0,31,309,151,173,329,318,0,0,0,0,0,0,0,0,0,0,293,332,408,213,0,0,
25,0168,PG10,390,0,0,0,0,24,138,140,86,212,159,0,0,0,0,0,0,0,0,0,0,220,147,197,163,0,0,
25,0169,PG11,612,0,0,0,0,29,329,141,105,365,232,0,0,0,0,0,0,0,0,0,0,343,218,336,233,0,0,
25,0170,PG12,409,0,0,0,0,22,162,134,91,190,203,0,0,0,0,0,0,0,0,0,0,217,169,205,175,0,0,
25,0171,PG13,343,0,0,0,0,32,136,115,57,185,147,0,0,0,0,0,0,0,0,0,0,207,108,180,139,0,0,
25,0172,PG14,612,0,0,0,0,30,305,138,132,334,258,0,0,0,0,0,0,0,0,0,0,275,287,355,208,0,0,
25,0173,PR01,182,0,0,0,0,14,68,70,28,91,87,0,0,0,0,0,0,0,0,0,0,91,83,90,83,102,71,
25,0174,PR02,229,0,0,0,0,21,96,85,25,124,100,129,96,0,0,0,0,0,0,0,0,122,95,134,83,117,99,
25,0175,PR03,387,0,0,0,0,24,179,139,42,181,189,196,166,0,0,0,0,0,0,0,0,210,138,197,154,192,155,
25,0176,PR04,251,0,0,0,0,20,113,91,26,114,130,129,106,0,0,0,0,0,0,0,0,125,108,124,109,132,97,
25,0177,PR05,250,0,0,0,0,19,109,88,33,115,130,127,109,0,0,0,0,0,0,0,0,140,93,131,101,137,90,
25,0178,PR06,125,0,0,0,0,10,53,50,12,53,69,53,68,0,0,0,0,0,0,0,0,62,54,57,60,60,57,
25,0179,PR07,171,0,0,0,0,21,64,62,23,81,84,80,82,0,0,0,0,0,0,0,0,80,75,79,77,92,64,
